Site/Division,Jira Ticket #,State,Name,Notes,Merge,Legacy URL,New URL,Page Title
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/1a4b8adb-19fb-4c81-b1d0-9172d1fe0304,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/c103b29e-2f3d-4513-b673-261b2fc09e74,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/df2c1075-6478-4e31-bb02-cf1b839bd34e,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/1a92d4ca-216b-4fa9-828d-8e5b9383e899,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/6738633f-1eba-4b49-a80b-c67bab0859d6,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/ff1bcee5-2c02-4fb5-b480-2b15a72a29c4,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/8ab30199-f5d1-40c0-95ae-139e099bff7e,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/4dfaf950-8d12-455f-9732-58a64f197ff9,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/4c4982eb-411b-40c4-8cfa-77476ca5f0ef,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/ff6c3a92-2c4d-439a-8703-71fb68323a22,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/ca7627a8-243e-4e7b-82f3-8eb518c21019,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/7b28d132-c806-41bd-800d-a7968ca53d43,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/b1e95782-834e-40c1-a1c6-0029e51247e1,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/2d35c37d-0582-4add-8e90-6abca000d844,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/a5db8aa6-529e-4500-9f46-cdc7ad63e647,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/97c696ca-da31-4f51-b996-d34220b90933,,DCI News
